BIC_CODE,BIC_DESC
C222345,Shutter manufacturing - aluminium
C222350,Skylight manufacturing - aluminium
C222355,Window - aluminium framed manufacturing - complete with glass
C222360,Window frame or sash manufacturing - aluminium
C222365,Window screen manufacturing - aluminium
C222410,Guttering manufacturing - sheet metal
C222420,"Roofing, metal (except aluminium), and components manufacturing"
C222905,"Architectural metal fixture (including door and sash, except aluminium) manufacturing"
C222910,Garage door manufacturing - metal - except aluminium
C222915,Gate manufacturing - metal - except aluminium or wire
C222920,Roller shutter manufacturing - metal - except aluminium
C222925,Screen door manufacturing - metal - except aluminium
C222930,Security door manufacturing - metal
C222935,"Shop front manufacturing, installation - metal - except aluminium"
C222940,Shutter manufacturing - metal - except aluminium
C222945,Skylight manufacturing - metal - except aluminium
C222950,Stairs or staircase manufacturing - prefabricated metal - except aluminium
C222955,Structural metal product manufacturing nec
C222960,Window frame or sash manufacturing - metal - except aluminium
C222965,Window or door fitting manufacturing - metal
C222970,Window screen manufacturing - metal - except aluminium
C223110,Boilermaking and installation
C223120,Freight container manufacturing - metal
C223130,"Storage tank, metal plate manufacturing"
C223140,Tank manufacturing - sheet metal
C223910,Aerosol container manufacturing
C223920,Barrel manufacturing - metal
C223930,Can manufacturing - metal
C223940,Garbage can manufacturing - metal
C223950,Metal container manufacturing
C223960,Tool box manufacturing - sheet metal
C224010,Copper smithing - except boiler making
C224020,Duct manufacturing - sheet metal
C224030,Metal stamping manufacturing nec
C224040,Sheet metal product manufacturing nec
C224050,Ventilator manufacturing - sheet metal
C229110,"Gate, wire manufacturing"
C229120,Nail manufacturing
C229130,Screening manufacturing - wire
C229140,Shopping trolley manufacturing
C229150,Spring manufacturing
C229160,Steel wire safety screen manufacturing
C229170,Wire mesh or netting manufacturing - except reinforcing mesh
C229180,Wire product manufacturing nec
C229210,"Masonry anchor, metal, manufacturing"
C229220,Nut or bolt manufacturing - metal
C229230,Screw manufacturing - metal
C229240,"Washer, metal, manufacturing"
C229305,Brass finishing or plating
C229310,Chromium plating
C229315,Enamelling service
C229320,"Engraving on metal (including laser) - except printing, process or photographic"
C229325,Galvanising of client supplied material
C229330,Gold plating
C229335,Heat treating metal or metal product
C229340,Metal coating of manufactured product nec
C229345,Metal polishing or finishing
C229355,Painting of manufactured metal product
C229360,Plastic coating of metal
C229365,Powder coating of metallic product
C229370,Silver plating
C229375,Surface coating and finishing
C229380,Vitreous enamelling
C229902,Ammunition manufacturing
C229905,Awning manufacturing - metal
C229908,Bathroom and toilet fitting manufacturing - metal
C229910,Blacksmith service
C229912,Blind manufacturing - metal
C229915,Clothes hoist manufacturing
C229918,Cutlery manufacturing
C229920,Display model manufacturing - metal
C229922,Fabricated metal product manufacturing nec
C229925,Fire sprinkler manufacturing
C229928,Firearm manufacturing
C229930,Furniture fitting manufacturing - metal
C229932,Garden tool manufacturing - except power operated
C229935,General hardware manufacturing nec
C229938,Gun or rifle manufacturing
C229940,Hand tool manufacturing nec - except pneumatic or power operated
C229942,Key manufacturing
C229945,Knife manufacturing - hand held - except power operated
C229948,Lamp or lamp part manufacturing
C229950,Livestock yarding equipment manufacturing - metal
C229952,Lock manufacturing
C229955,Mast manufacturing - aluminium
C229958,Metalworking hand tool manufacturing - except pneumatic or power operated
C229960,Pipe fitting manufacturing - non-ferrous metal
C229962,Platework nec
C229965,Razor or razor blade manufacturing - except power operated
C229968,Safe or vault manufacturing or installation
C229970,Saw blade manufacturing
C229972,Scissor manufacturing - except electric
C229975,Screwdriver manufacturing - including bit or blade - except pneumatic or power operated
C229978,Tubing manufacturing - flexible metal
C229980,"Valve or valve part, steam, gas or water, manufacturing (non-ferrous metal)"
C229985,"Woodworking hand tool manufacturing - except of wood, pneumatic or power operated"
C231105,Motor vehicle assembling
C231110,Motor vehicle manufacturing
C231120,Motor vehicle parts manufacturing (in association with complete motor vehicles)
C231210,Boat trailer manufacturing
C231220,"Bus, coach body manufacturing"
C231230,Campervan manufacturing
C231240,Caravan and camper trailer manufacturing
C231250,Horse float manufacturing
C231255,Motor vehicle body manufacturing
C231260,Ambulance or fire truck converting
C231270,Trailer manufacturing
C231280,Truck body manufacturing
C231310,Motor vehicle electrical part and instrument manufacturing
C231910,Automotive component manufacturing nec
C231920,Car accessory manufacturing
C231930,Child car restraint manufacturing
C231940,Muffler manufacturing
C231950,Radiator manufacturing
C231960,Seat-belt manufacturing
C231970,Wheel manufacturing
C239110,Drydock operation
C239120,Ship repairing
C239130,Ship wrecking
C239140,Shipbuilding (any vessel over 50 tonnes displacement)
C239210,Boat building or repair (all vessels under 50 tonnes displacement)
C239220,"Boat, inflatable, manufacturing"
C239230,Yacht constructing (all vessels under 50 tonnes displacement)
C239310,Locomotive manufacturing and repair
C239320,Railway rolling stock manufacturing and repair
C239330,Tram manufacturing
C239410,Aircraft engine building or repair
C239420,"Aircraft manufacturing, maintenance and repair"
C239430,Aircraft wheel and brake reconditioning service
C239440,Helicopter manufacturing or repairing
C239910,Bicycle manufacturing
C239920,Transport equipment manufacturing nec
C239930,Trotting gig manufacturing
C239940,Wheelbarrow manufacturing
C239950,Wheelchair manufacturing
C241110,Contact lens manufacturing
C241120,Optical instrument or equipment manufacturing
C241130,Optical lens grinding
C241140,Photographic equipment manufacturing
C241150,Spectacle frame manufacturing
C241160,Sunglass manufacturing
C241205,"Artificial limb, eye, etc manufacturing"
C241210,Dental instrument or equipment manufacturing
C241215,Denture fabrication
C241220,Diagnostic apparatus manufacturing
C241225,Hearing aid manufacturing
C241230,Medical equipment manufacturing
C241235,Orthotic - arch support manufacturing
C241240,Prosthetic products and services
C241245,Surgical equipment manufacturing
C241250,Veterinary instrument manufacturing
C241905,Electricity meter manufacturing
C241910,Measuring instrument manufacturing
C241915,Meteorological instrument manufacturing nec
C241920,Meter manufacturing - gas or water
C241925,Nautical instrument manufacturing
C241930,Navigational equipment manufacturing
C241935,Optical fibre cable manufacturing - uninsulated
C241940,Parking meter manufacturing
C241943,Professional equipment manufacturing nec
C241945,Radar equipment manufacturing
C241950,Radio remote control equipment manufacturing
C241955,Scientific instrument or equipment manufacturing nec
C241960,Surveying instrument manufacturing
C241965,Taxi meter manufacturing
C241970,Technology education equipment manufacturing nec
C241975,Traffic signal manufacturing - electrical
C242110,Computer and business machine manufacturing
C242120,Office machine manufacturing
C242210,Broadcast equipment manufacturing
C242220,Radio transceiver manufacturing
C242230,Telecommunication equipment manufacturing
C242240,Telephone equipment manufacturing
C242250,Television antennae manufacturing
C242910,Alarm system manufacturing
C242920,Electronic equipment manufacturing nec
C242930,Loudspeaker manufacturing
C242940,Printed circuit board manufacturing
C242950,Sound reproducing equipment manufacturing
C243105,Optical fibre cable manufacturing
C243110,Telecommunication cable manufacturing
C243120,Wire or cable manufacturing - electric
C243210,"Bulb or tube, electric light manufacturing"
C243220,Electric light fitting manufacturing
C243230,Neon sign manufacturing
C243240,Sign manufacturing - electric
C243910,Battery manufacturing
C243920,Electric motor manufacturing nec
C243930,Electrical equipment or machinery manufacturing nec
C243940,Furnace manufacturing - electric - except space heater
C243950,Furnace manufacturing - industrial - except electric furnace or space heaters
C243960,Transformer manufacturing
C243970,Welding equipment manufacturing - electrical
C244110,Barbecue manufacturing
C244120,Household appliance (whiteware) manufacturing
C244910,Gas heating appliance - household - manufacturing
C244920,Heater - household - manufacturing
C244930,Household appliance (excluding whiteware) manufacturing
C244940,"Solar water heating system, domestic, manufacturing"
C244950,Water cooler manufacturing
C244960,"Water heater manufacturing - industrial, commercial or household"
C244970,Water treatment equipment manufacturing - household
C245110,Petrol bowser manufacturing
C245120,Pump and compressor manufacturing
C245210,Commercial space heating and cooling equipment manufacturing
C245220,Refrigeration equipment manufacturing - commercial or industrial
C245225,"Solar water heating system, commercial or industrial, manufacturing"
C245230,Vending machine manufacturing - refrigerated
C246110,Agricultural machinery or equipment manufacturing
C246120,Lawn mower manufacturing
C246130,Tractor manufacturing - agricultural - except crawler tractor
C246140,Windmill manufacturing
C246210,Construction equipment manufacturing
C246220,Drilling machinery manufacturing nec
C246230,Earthmoving machinery manufacturing
C246240,Mining machinery manufacturing
C246250,Tractor manufacturing - for construction or earthmoving purposes
C246310,Drilling machinery manufacturing - woodworking or metalworking
C246320,Forging machinery manufacturing
C246330,Hand tool nec manufacturing - pneumatic or power operated
C246340,Machine tool and part manufacturing
C246350,Pneumatic tool manufacturing nec
C246360,Welding or cutting equipment manufacturing - gas
C246370,Woodworking machinery manufacturing nec
C246910,Bakery machinery manufacturing
C246920,Bottling machine manufacturing
C246930,Distilling and beverage equipment manufacturing
C246940,Flour milling machinery manufacturing
C246950,Food packing machinery manufacturing
C246960,Food processing machinery manufacturing
C246970,Industry-specific machinery and equipment manufacturing nec
C249110,Elevators or elevator part manufacturing
C249120,Forklift truck manufacturing
C249130,"Lift manufacturing, installation and repair"
C249140,Lifting and material handling equipment manufacturing
C249910,General engineering
C249920,Industrial machinery and equipment manufacturing nec
C249930,Vending machine manufacturing - except refrigerated
C249940,Water treatment equipment manufacturing - except household
C249950,Weighing machinery manufacturing
C251110,Antique wooden furniture manufacturing
C251120,Bed manufacturing nec
C251130,"Cabinet making, joinery - furniture"
C251140,"Carpentry, joinery - furniture"
C251150,Kitchen furniture manufacturing - wooden
C251155,"Stage scenery, props and furniture manufacturing - wooden"
C251160,Upholstered furniture manufacturing
C251170,Wooden furniture manufacturing
C251210,Furniture manufacturing - sheet metal
C251215,Metal furniture manufacturing nec
C251220,Office furniture manufacturing - sheet metal
C251225,"Stage scenery, props and furniture manufacturing - sheet metal"
C251310,Bed base manufacturing - upholstered
C251320,Mattress manufacturing - except rubber
C251910,Cane product manufacturing
C251920,Furniture manufacturing nec
C251930,Furniture part manufacturing - except sheet metal
C251940,"Stage scenery, props and furniture manufacturing nec"
C259110,Badge manufacturing - metal
C259120,Gem cutting
C259130,Gold smithing
C259140,Jewellery manufacturing
C259150,Lapidary work
C259160,Medal manufacturing
C259170,Silverware manufacturing
C259210,Billiard table manufacturing
C259220,Hang glider manufacturing
C259225,Recreational product manufacturing nec
C259230,Sailboard manufacturing
C259240,Skateboard manufacturing
C259250,Skin diving equipment manufacturing
C259260,Sports goods manufacturing nec
C259270,Surfboard manufacturing
C259280,Toy manufacturing
C259905,Broom and brush manufacturing
C259907,Manufacturing nec
C259910,Musical instrument manufacturing
C259915,Painting of manufactured wooden product
C259920,Pen manufacturing
C259925,Pencil manufacturing
C259930,Rubber stamp manufacturing
C259935,Stamp pad manufacturing
C259940,Taxidermist
C259945,Toilet building manufacturing - portable
C259950,Umbrella manufacturing
C259955,Wig manufacturing
D261110,Fossil fuel electricity generation
D261210,Hydro-electricity generation
D261910,Electricity generation nec
D262010,Electricity transmission (national grid)
D263010,Electricity line system operation
D263020,Electricity line system operation (excluding maintenance and construction)
D264010,Electricity energy sales operation
D264020,Electricity market operation
D270010,Fuel gas distribution - through mains system
D270020,"Gas, natural, distribution - through mains system"
D281110,Pumping station operation - water supply
D281120,Water supply system operation
D281130,"Water, sewerage or gas utility operation (excluding plant operation, maintenance and construction)"
D281210,Drainage system operation (town or stormwater)
D281220,Pumping station operation - sewerage
D281230,Sewerage system operation
D291105,Bin hiring and waste collection service nec
D291110,Garbage collection service
D291120,Industrial waste collection and disposal service
D291130,Rubbish and waste removal
D291135,Solid waste collection service
D291140,"Toilet, portable, hiring"
D291903,Hazardous waste (except solid) collection service
D291907,Industrial waste (except solid) collection service
D291910,Septic tank service
D291920,Used oil collection service
D291930,Waste collection service nec
D292110,Garbage disposal service
D292115,Hazardous waste treatment or disposal service
D292120,Rubbish dump or tip operation
D292130,Sanitary disposal service
D292140,Waste disposal service
D292210,Asbestos removal service
D292213,E-waste collection and material recovery
D292215,Hazardous material removal
D292217,Materials recovery station operation nec
D292220,"Recycling of glass, plastic bottles, etc - collecting, sorting, dealing, wholesaling"
D292230,"Recycling of other non-metal waste and scrap - collecting, sorting, dealing, wholesaling"
D292240,Toxic material abatement
D292250,Waste remediation
E301110,"Assembly, erection or installation of prefabricated domestic sheds, garages or carports"
E301120,"Building, house construction"
E301130,"House construction, alteration, renovation or general repair"
E301140,"House prefabricated - assembly, erection or installation"
E301910,"Building, residential - flats, units, apartments, etc (excluding houses)"
E301920,Repair (general) or renovation of residential buildings nec
E302010,"Building, non-residential construction - commercial buildings, hotels, etc"
E302020,Repair (general) or renovation of non residential buildings nec
E310110,Aerodrome runway construction
E310120,Asphalt surfacing
E310130,Bridge construction or repair
E310140,Civil engineering - road or bridge construction
E310150,Parking lot construction - except buildings
E310160,Paving material - hot mix bitumen
E310170,"Road construction, repair or sealing"
E310903,Cable laying
E310904,"Distribution line, electricity or communication, construction and maintenance"
E310907,Canal construction
E310908,Water reticulation construction and maintenance
E310910,Civil engineering - non building construction nec
E310913,Dam construction
E310917,Dredging - harbours or rivers
E310920,"Electrical machinery, heavy, installation - on- site assembly"
E310923,Furnace construction - for industrial plants from prefabricated components
E310927,Golf course construction
E310930,Harbour work construction - except buildings
E310933,Heavy machinery installation
E310937,Irrigation system construction
E310940,Jetty construction
E310943,Mine site construction nec
E310947,Non-building construction nec
E310950,Utility pipeline construction and maintenance - except special trade repair service
E310953,Sewerage or stormwater drainage network construction or maintenance
E310957,Sports field construction
E310960,Swimming pool construction - concrete or fibre glass - below ground
E310963,Transmission tower construction and maintenance
E310967,Tunnel construction
E310970,Utility network construction and maintenance services
E310973,Water tank construction - except structural steel
E310980,Communications network construction and maintenance services
E321110,Land development or subdivision (excluding buildings construction)
E321120,Land development or subdivision (excluding construction)
E321210,Blasting services - site preparation
E321220,Demolition of buildings or other structures
E321225,Earthmoving plant and equipment hiring with operator
E321230,Earthmoving services
E321240,Excavating services
E321250,Explosive laying
E321260,Land clearing - except rural
E321270,Site preparation
E321280,Trench digging
E322110,Concrete cutting
E322120,Concrete pumping
E322130,Concreting services
E322140,Footpath construction - concrete
E322150,Foundation construction - concrete
E322160,Kerb and guttering construction - concrete
E322210,Bricklaying services
E322215,Concrete block laying
E322220,Stonework on construction projects
E322310,Metal roof fixing
E322315,"Roof painting, spraying or coating"
E322320,Roof tiling
E322330,Roofing material installation - except insulation materials
E322405,Steel fixing services
E322410,Storage tank erection - metal
E322420,Structural steel erection
E322430,Welding work on construction projects
E323110,Drainlaying (construction) including cleaning or repairing - except sewerage or stormwater drainage networks
E323120,Gas plumbing
E323130,Guttering installation or repair - roof
E323140,Hot water system installation
E323150,Plumbing - except marine
E323160,Septic tank installation
E323170,Solar hot water system installation
E323210,Computer cable installation (within buildings)
E323220,Electrical services
E323222,Electrical repairs and maintenance to garage or automatic doors
E323223,Electrical traffic signal installation or maintenance
E323225,Electrician
E323230,"Pay TV installation - antennae, decoder"
E323240,Telecommunication line construction and maintenance (within buildings)
E323250,Television antennae installing
E323310,Air conditioning equipment installation - except motor vehicles
E323315,Freezer room construction
E323320,Heating equipment installation - except industrial furnaces
E323330,Refrigeration equipment installation
E323340,Ventilation equipment installation nec
E323410,Alarm system installation
E323420,Fire sprinkler installation
E323430,Security system installation
E323440,Video surveillance system installation
E323910,Awning installation or repair
E323920,Blind installation or repair
E323925,Building installation services nec
E323930,Curtain installing
E323932,Door installation - except on-site joinery
E323935,"Elevator, escalator or lift installation"
E323940,"Flywire installation - screens, shutters or blinds"
E323950,Insulation material installation
E323955,"Roller doors, shutters or grilles installation"
E323960,Window tinting service - buildings
E324110,Ceiling services
E324120,Plasterboard fixing or finishing
E324130,Plastering
E324210,"Cabinet making, joinery - on-site fabrication of built-in furniture or other joinery"
E324220,"Carpentry, joinery - on construction projects"
E324230,Flooring fixing - wooden
E324240,Joinery work on construction projects
E324250,Shop fitting manufacturing or installation
E324310,Carpet laying
E324320,Floor covering laying nec
E324330,Floor sanding
E324340,Tiling services - floor and wall
E324410,House painting
E324415,Interior painting and decorating
E324420,Painting of buildings or other structures
E324430,Paper hanging
E324440,Spray painting of buildings or other structures
E324450,Wall papering
E324510,Glazing services
E324520,Window frame installation
E324530,Window installation
E324540,Window insulation fixing
E329110,Fence construction - except agricultural
E329120,Garden drainage systems installation
E329130,Garden sprinkler system installation - except irrigation systems
E329140,Landscape construction
E329150,Landscaping and property maintenance service
E329160,Lawn construction
E329170,Rockery work
E329205,Construction machinery (excluding earthmoving equipment) hiring with operator
E329210,Crane hiring or leasing - with operator
E329220,Heavy plant hiring - with operators
E329910,Abrasive blasting
E329920,Construction services - all trades subcontracted
E329930,Construction services nec
E329931,Drilling contractor - construction nec
E329935,Film or stage rigging
E329936,Labouring on construction or building site nec
E329937,"Lane or road marking service - roadways, carparks, asphalt surfaces, etc"
E329938,Non-electric traffic signal or control installation
E329939,Offal hole drilling
E329940,Petrol bowser installation
E329950,Road marking operation
E329960,Sand or other abrasive blasting of building exteriors
E329970,Scaffolding construction
E329980,Steam-cleaning of building exteriors
E329982,Utility network drilling service
E329985,Water bore drilling and construction
E329990,Waterproofing of buildings
F331110,Wool wholesaling
F331120,Woolstore operation
F331210,Cereal grain wholesaling
F331905,Farm produce or supplies wholesaling
F331910,Feed wholesaling
F331915,Flower wholesaling
F331920,Hide wholesaling
F331925,Leather wholesaling
F331930,Livestock wholesaling
F331935,Nursery stock - wholesale
F331940,Orchard supplies wholesaling nec
F331945,Seed wholesaling - farm or garden
F331950,Skin wholesaling
F331955,Tobacco leaf wholesaling
F331960,"Tree or shrub, potted - wholesaling"
F332110,Liquefied petroleum gas - dealing
F332120,Oil or grease wholesaling - industrial or lubricating
F332130,Petroleum product wholesaling (including product ownership to retail point-of-sale)
F332210,"Used cans, metal - recycling, collecting, sorting, dealing or wholesaling"
F332220,Coal wholesaling
F332230,Metal wholesaling
F332240,Mineral wholesaling nec
F332250,Precious metal scrap dealing
F332260,Scrap metal merchandising
F332270,"Steel bar, plate, rod, sheet or strip wholesaling"
F332275,Steel wholesaling
F332305,Adhesive wholesaling
F332310,Agricultural chemical wholesaling
F332315,Chemical wholesaling nec
F332320,Cleaning product - chemical based wholesaling
F332325,Detergent wholesaling
F332330,Dyes wholesaling
F332335,Fertiliser wholesaling
F332340,Gas - industrial - wholesaling - except liquefied petroleum gas
F332345,Liquefied gas wholesaling - except liquefied petroleum gas (LPG)
F332350,Marine oil wholesaling
F332355,Pesticide wholesaling
F332360,"Plastic block, rod, plate or other unfinished form wholesaling"
F332365,Plastic film sheeting wholesaling
F333110,Timber wholesaling
F333120,Veneer wood - dealing
F333210,Bathroom and toilet fittings - wholesaling
F333215,Gas fittings wholesaling
F333220,Plumbing goods wholesaling nec
F333905,Builder hardware dealing
F333910,Building supplies wholesaling
F333915,Garden tool wholesaling
F333920,Hand tool wholesaling - including power operated
F333925,Household good wholesaling nec
F333930,Landscaping supplies - wholesaling
F333935,Paint wholesaling
F333940,Spa pool and hot tub wholesaling
F333945,Swimming pool wholesaling - fibreglass - below ground
F333950,Tiles - floor - wholesaling
F333955,Wallpaper wholesaling
F333960,Woodworking tool wholesaling
F341110,Agricultural machinery or equipment wholesaling
F341120,Construction machinery or equipment wholesaling
F341130,Lawn mower wholesaling
F341910,Dry cleaning machinery or equipment wholesaling
F341920,Food processing machinery or equipment wholesaling
F341930,Industrial machinery or equipment wholesaling nec
F341940,Metalworking machinery wholesaling
F341950,Milk processing machinery or equipment wholesaling
F341960,Printing machinery or equipment wholesaling
F341970,Textile working machinery or equipment wholesaling
F341980,Welding machinery or equipment wholesaling - non-electrical
F341990,Woodworking machinery or equipment wholesaling
F349110,Medical equipment wholesaling nec
F349120,Professional equipment wholesaling
F349130,Scientific equipment wholesaling
F349203,Computer consumables wholesaling nec
F349207,Computer software wholesaling
F349210,Computer wholesaling - including peripherals
F349310,"Communication equipment, industrial, wholesaling"
F349320,Telephone or telegraph equipment wholesaling
F349405,"Business machine, equipment - wholesaling - except computing equipment or furniture"
F349410,Electric fittings dealing
F349415,Electrical distribution equipment wholesaling
F349420,"Electrical equipment, industrial, wholesaling nec"
F349425,Electrical measuring or testing instrument wholesaling
F349430,Electronic equipment wholesaling - industrial
F349435,Household appliance wholesaling
F349440,Kitchen appliance wholesaling - household electric
F349445,Light fitting wholesaling - electrical
F349450,Photographic equipment wholesaling
F349455,Radio or television part wholesaling
F349460,Refrigeration equipment wholesaling - commercial
F349465,Sound recording or reproducing equipment - industrial - wholesaling
F349470,Sound reproducing equipment - household - wholesaling
F349475,Stove or heater - household - wholesaling
F349480,Television set wholesaling
F349485,Welding equipment wholesaling - electrical
F349910,Film wholesaling - photographic
F349920,Fire protection equipment wholesaling
F349930,"Furnace or furnace equipment, industrial, wholesaling - except electrical"
F349940,Hairdresser equipment wholesaling
F349945,Machinery and equipment wholesaling nec
F349950,Weighing machinery wholesaling
F350110,Car wholesaling
F350210,"Bus, coach dealing"
F350220,Commercial vehicle wholesaling
F350230,Truck wholesaling
F350305,Caravan or motorhome wholesaling
F350310,Motorcycle or scooter wholesaling
F350320,Trailer wholesaling
F350410,Battery wholesaling - motor vehicle
F350420,Motor vehicle accessory dealing - new
F350430,Motor vehicle part dealing - new
F350440,Tyres or tubes wholesaling
F350510,Auto part recycling
F350520,Motor vehicle part dealing - used
F350530,Motor wrecking
F360110,Grocery wholesaling - multiple product ranges
F360210,Butcher - wholesaling
F360220,"Meat wholesaling - except canned, cured or smoked poultry or rabbit meat"
F360230,Poultry wholesaling
F360240,Smallgood wholesaling
F360310,Dairy product wholesaling
F360320,Ice-cream wholesaling
F360330,Milk wholesaling
F360410,Fish wholesaling
F360420,Seafood wholesaling - fresh or frozen
F360510,"Fruit fresh - wholesaling, washing or packing"
F360520,"Vegetable fresh - wholesaling, washing or packing"
F360610,"Beer, wine and spirit wholesaling"
F360615,Electronic cigarette and vape wholesaling
F360620,Tobacco product wholesaling
F360905,Confectionery wholesaling
F360910,Egg and egg product wholesaling
F360915,Food wholesaling nec
F360920,Grocery wholesaling nec
F360925,Health food wholesaling
F360930,Nut wholesaling
F360935,Potato crisp wholesaling
F360940,Seafood wholesaling - canned
F360945,Soft drink wholesaling
F360950,Tea wholesaling
F371105,Bag or sack wholesaling - textile
F371110,Haberdashery wholesaling
F371115,Household linen wholesaling
F371120,Rope wholesaling
F371125,Sail cloth wholesaling
F371130,Soft furnishing wholesaling
F371135,Tent wholesaling
F371140,Textile product wholesaling nec
F371145,Textile wholesaling nec
F371150,Yarn wholesaling
F371210,Clothing wholesaling
F371220,Footwear wholesaling
F372010,Cosmetic wholesaling
F372020,Drug wholesaling
F372030,Drug wholesaling - veterinary
F372040,Medicine wholesaling
F372050,Perfume wholesaling
F372060,Soap wholesaling
F372070,Toiletry wholesaling
F373110,Bed wholesaling
F373120,Floor covering wholesaling
F373130,Furniture wholesaling
F373140,Furniture wholesaling - office
F373150,Mattress wholesaling
F373210,Gemstone wholesaling
F373220,"Gold, silver merchandising"
F373230,Jewellery wholesaling
F373240,Precious metal wholesaling
F373250,Watch or clock part wholesaling
F373260,Watch wholesaling
F373310,"China, glassware and earthenware wholesaling"
F373315,Cutlery wholesaling
F373320,Kitchenware wholesaling
F373410,Gymnasium equipment wholesaling
F373420,Hobby equipment wholesaling - except tools
F373430,Playground equipment wholesaling
F373440,Skin diving equipment wholesaling
F373450,Sporting good wholesaling - except clothing or footwear
F373460,Toy wholesaling
F373510,Book wholesaling
F373520,Magazine wholesaling
F373530,Newspaper wholesaling
F373540,Periodical wholesaling
F373610,Bag wholesaling - paper
F373620,Paper product wholesaling nec
F373630,Paper wholesaling
F373640,Stationery wholesaling
F373910,Artist supplies wholesaling
F373915,E-liquid (for electronic cigarette and vape) wholesaling
F373920,Firewood wholesaling
F373930,Leather good wholesaling - except clothing or footwear
F373940,Luggage wholesaling
F373950,Pet food wholesaling
F373960,Second hand good wholesaling nec
F373970,Wholesale trade nec
F373980,"Wholesaling, all products - excluding storage and handling of goods"
F380005,Auction house or rooms operation
F380010,Auctioning service - livestock
F380020,Auctioning service nec
F380030,Commodity broking
F380040,Wool broker
F380050,"Sales agent for manufacturer, wholesaler or retailer"
F380060,Commission-based wholesaling
G391110,Car dealer - new and/or used (including associated vehicle servicing)
G391210,Go-karts retailing - motorised
G391220,Motorcycle or scooter retailing (including associated servicing)
G391310,Caravan dealing
G391320,Horse float wholesaling or retailing
G391330,Mobile home dealing
G391340,Trailer dealing - except boat
G392110,Battery retail - motor vehicle
G392120,Car radio or cassette player - dealing or installation
G392130,Motor accessory shop operation
G392140,Motor vehicle parts retailing
G392210,Tyre or tube for motor vehicle - retailing
G392220,"Tyre or tube for motor vehicle, repairing - except retreading"
G400010,Automotive fuel retailing (including associated vehicle servicing)
G400020,Liquefied petroleum gas - automotive - retailing
G400030,Service station operation
G411010,Dairy/superette operation
G411020,General store operation - mainly grocery
G411030,Grocery retailing
G411040,Grocery supermarket operation
G412110,"Butchery, butcher shop - retail"
G412120,Fish retailing - fresh
G412130,Poultry retailing - fresh
G412140,Seafood retailing - fresh
G412210,Fruit retailing - fresh
G412220,Greengrocery operation - retail
G412230,Vegetable fresh - retailing
G412310,Liquor store
G412320,Wine and spirit merchandising - retail
G412905,Bakery retailing (without on-site baking)
G412910,Biscuit retailing
G412915,Bread retailing
G412920,Bread vending
G412925,Cake retailing
G412930,Confectionery retailing
G412935,Delicatessen
G412940,Health food retailing
G412945,Smallgood retailing
G412950,Specialised food retailing nec
G421110,Antique reproduction furniture retailing
G421120,Awning retailing
G421130,Bed retailing
G421140,Blind retailing
G421150,Furniture retailing
G421210,Carpet retailing
G421220,Floor covering retailing
G421230,Tiles - floor - retailing
G421310,"China, glassware and earthenware retailing"
G421315,Cutlery retailing
G421320,Kitchenware retailing
G421330,"Plastic container, household, retailing"
G421340,Silverware retailing
G421410,Curtain retailing
G421420,Dressmaking supply retailing
G421430,Fabrics textile retailing
G421440,Haberdashery retailing
G421450,Household textile retailing
G421460,Linen retailing - household
G421470,Soft furnishing retailing
G421480,Yarn retailing
G422105,Barbecue retailing
G422110,"Camera, accessory retailing"
G422115,Domestic appliance retailing
G422120,Gas heating appliance - household - retailing
G422125,Heating equipment - household electric - retailing
G422130,Household appliance retailing
G422135,Photographic equipment retailing
G422140,Pocket calculator retailing - electronic
G422145,Sound reproducing equipment - household - retailing
G422150,Telephone retailing including mobile phone
G422155,Television antennae retailing
G422160,Television set retailing
G422165,Video camera retailing
G422203,Computer peripherals retailing
G422207,Computer game console retailing
G422210,Computer retailing
G422220,Computer software retailing
G422910,Electric light fittings retailing
G422920,Electrical goods retailing nec
G422930,Electronic goods retailing nec
G423105,Home improvement goods trading - multiple product ranges
G423110,Bathroom and toilet fitting - retailing
G423115,Building supplies retailing nec
G423120,Garden tool retailing
G423130,Hardware retailing - domestic
G423140,Lawn mower retailing
G423150,Paint retailing
G423160,"Tool, household, retailing"
G423170,Wallpaper retailing
G423210,Fertiliser retailing
G423220,Garden ornament retailing
G423230,Garden supply retailing nec
G423240,Landscaping supply - retailing
G423250,Nursery - retail
G423260,Pesticide retailing
G423270,"Plant, garden - retailing"
G423280,Seed retailing - garden
G423290,Shrub or tree retailing
G424110,Bicycle and accessory retailing
G424120,Camping equipment retailing
G424130,Firearm retailing
G424140,Gymnasium equipment retailing
G424150,Skin diving equipment retailing
G424160,Sporting equipment retailing - except clothing or footwear
G424210,"Compact disc, cassette tape and record retailing"
G424220,Computer game retailing
G424230,Video cassette or disc retailing
G424310,Doll retailing
G424320,Game retailing
G424330,Hobby equipment and supply retailing
G424340,Toy retailing
G424410,Book retailing
G424415,Religious book retailing
G424420,Magazine retailing
G424430,Newspaper retailing
G424510,Boat dealing
G424520,Boat trailer dealing
G424530,Jetski retailing
G424540,Marine accessory retailing nec
G424550,Marine equipment retailing
G424560,Outboard motor retailing
G424570,Trailer dealing - boat
G425105,Baby wear retailing
G425110,Clothing accessory retailing
G425115,Clothing retailing
G425120,Leather clothing retailer
G425125,Lingerie retailing
G425130,Menswear retailing
